0,1,2,3
0,0.8941974,0.8927284,14.226375341415405
2,0.9483006,0.9402043,14.638213872909546
4,0.9623064,0.95182294,16.653167963027954
6,0.9700187,0.9582332,14.077278852462769
8,0.972506,0.95963544,14.359403848648071
10,0.9828392,0.96864986,13.968774795532227
12,0.9770299,0.9626402,14.109403610229492
14,0.978933,0.96534455,13.984402418136597
16,0.98430824,0.9675481,15.171903371810913
18,0.9879307,0.9703526,16.421904802322388
20,0.98879874,0.97055286,18.712177991867065
22,0.9797843,0.96324116,15.436688661575317
24,0.988732,0.96935093,15.343521118164062
26,0.9902344,0.9722556,15.281282186508179
28,0.98729634,0.97005206,15.154294490814209
30,0.9929721,0.971254,15.250027894973755
32,0.99350625,0.9723558,16.421905279159546
34,0.99377334,0.9735577,15.3437819480896
36,0.99350625,0.96935093,15.203153133392334
38,0.9919538,0.9699519,16.875474214553833
40,0.9953926,0.9724559,14.046902894973755
42,0.99050146,0.96844953,14.368716955184937
44,0.9957766,0.9720553,14.062530517578125
46,0.9939069,0.97055286,14.203150510787964
48,0.9952591,0.97155446,13.953151226043701
