,Dataset,NumLayers,Degree,Best_test,Num_parameters
0,MNIST,2,3,0.9487,7890452
1,MNIST,3,3,0.9519,17066516
2,MNIST,4,2,0.97937,34236436
3,MNIST,4,3,0.9504,3809034
4,MNIST,4,4,0.9805,41843732
5,MNIST,4,5,0.9791,45647380
0,FashionMNIST,2,3,0.8681,7890452
1,FashionMNIST,3,3,0.8,17066516
2,FashionMNIST,4,2,0.886,34236436
3,FashionMNIST,4,3,0.88,3809034
4,FashionMNIST,4,4,0.889,41843732
5,FashionMNIST,4,5,0.89,45647380
0,CIFAR,2,3,0.498047,7890452
1,CIFAR,3,3,0.534,17066516
2,CIFAR,4,2,0.566,34236436
3,CIFAR,4,3,0.571,3809034
4,CIFAR,4,4,0.57,41843732
5,CIFAR,4,5,0.578,45647380
